update_date,target_month,months_ahead,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2021-05-19,2021-05,0,0.180874066604869,0.243571052734698,0.197428858960911,0.245284754015855
2021-05-20,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-20,2021-05,0,0.180874066604869,0.243571052734698,0.197428858960911,0.245284754015855
2021-05-21,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-21,2021-05,0,0.180874066604869,0.243571052734698,0.197428858960911,0.245284754015855
2021-05-24,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-24,2021-05,0,0.180874066604869,0.243571052734698,0.197428858960911,0.245284754015855
2021-05-25,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-25,2021-05,0,0.197317228014512,0.243571052734698,0.206712923951331,0.245284754015855
2021-05-26,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-26,2021-05,0,0.197317228014512,0.243571052734698,0.206712923951331,0.245284754015855
2021-05-27,2021-04,-1,,,0.573507433692763,0.692465171813853
2021-05-27,2021-05,0,0.197317228014512,0.243571052734698,0.206712923951331,0.245284754015855
2021-05-28,2021-05,0,0.197317228014512,0.243571052734698,0.221055594148059,0.251838962109983
2021-06-01,2021-05,-1,0.197317228014512,0.243571052734698,0.221055594148059,0.251838962109983
2021-06-01,2021-06,0,0.171347854089167,0.270106822399323,0.198686085194942,0.255866498746247
2021-06-02,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-02,2021-06,0,0.190260304191393,0.270106822399323,0.208615381166113,0.255866498746247
2021-06-03,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-03,2021-06,0,0.199277887923353,0.270106822399323,0.213349736436609,0.255866498746247
2021-06-04,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-04,2021-06,0,0.201247245290103,0.270106822399323,0.214383676093384,0.255866498746247
2021-06-07,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-07,2021-06,0,0.205393260799051,0.270106822399323,0.216560391160278,0.255866498746247
2021-06-08,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-08,2021-06,0,0.295727466176264,0.270106822399323,0.263987089269867,0.255866498746247
2021-06-09,2021-05,-1,0.208668313632782,0.243571052734698,0.227015069947794,0.251838962109983
2021-06-09,2021-06,0,0.295727466176264,0.270106822399323,0.263987089269867,0.255866498746247
2021-06-10,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-10,2021-06,0,0.333184195816543,0.311251202763017,0.286776939678029,0.281025120648719
2021-06-11,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-11,2021-06,0,0.333184195816543,0.311251202763017,0.286776939678029,0.281025120648719
2021-06-14,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-14,2021-06,0,0.333184195816543,0.311251202763017,0.286776939678029,0.281025120648719
2021-06-15,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-15,2021-06,0,0.349858175423158,0.311251202763017,0.29567968877103,0.281025120648719
2021-06-16,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-16,2021-06,0,0.349858175423158,0.311251202763017,0.29567968877103,0.281025120648719
2021-06-17,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-17,2021-06,0,0.349858175423158,0.311251202763017,0.29567968877103,0.281025120648719
2021-06-18,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-18,2021-06,0,0.349858175423158,0.311251202763017,0.29567968877103,0.281025120648719
2021-06-21,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-21,2021-06,0,0.349858175423158,0.311251202763017,0.29567968877103,0.281025120648719
2021-06-22,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-22,2021-06,0,0.352721384042475,0.311251202763017,0.297208443665788,0.281025120648719
2021-06-23,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-23,2021-06,0,0.352721384042475,0.311251202763017,0.297208443665788,0.281025120648719
2021-06-24,2021-05,-1,,,0.503265602239752,0.553742424939651
2021-06-24,2021-06,0,0.352721384042475,0.311251202763017,0.297208443665788,0.281025120648719
2021-06-25,2021-06,0,0.352721384042475,0.311251202763017,0.295787510007792,0.278644769241752
2021-06-28,2021-06,0,0.352721384042475,0.311251202763017,0.295787510007792,0.278644769241752
2021-06-29,2021-06,0,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-06-30,2021-06,0,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-01,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-01,2021-07,0,0.216556340450065,0.316954422993495,0.215701998220633,0.273041611182134
2021-07-02,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-02,2021-07,0,0.236982477325949,0.316954422993495,0.226506964930573,0.273041611182134
2021-07-06,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-06,2021-07,0,0.252319273700771,0.316954422993495,0.234619785052852,0.273041611182134
2021-07-07,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-07,2021-07,0,0.328705484045787,0.316954422993495,0.275026371226806,0.273041611182134
2021-07-08,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-08,2021-07,0,0.328705484045787,0.316954422993495,0.275026371226806,0.273041611182134
2021-07-09,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-09,2021-07,0,0.328705484045787,0.316954422993495,0.275026371226806,0.273041611182134
2021-07-12,2021-06,-1,0.362237342100795,0.311251202763017,0.300821237660657,0.278644769241752
2021-07-12,2021-07,0,0.328705484045787,0.316954422993495,0.275026371226806,0.273041611182134
2021-07-13,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-13,2021-07,0,0.383320315604575,0.364219636265928,0.310912601273232,0.303731544156776
2021-07-14,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-14,2021-07,0,0.383320315604575,0.364219636265928,0.310912601273232,0.303731544156776
2021-07-15,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-15,2021-07,0,0.383320315604575,0.364219636265928,0.310912601273232,0.303731544156776
2021-07-16,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-16,2021-07,0,0.383320315604575,0.364219636265928,0.310912601273232,0.303731544156776
2021-07-19,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-19,2021-07,0,0.383320315604575,0.364219636265928,0.310912601273232,0.303731544156776
2021-07-20,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-20,2021-07,0,0.391434902919012,0.364219636265928,0.315315887048064,0.303731544156776
2021-07-21,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-21,2021-07,0,0.391434902919012,0.364219636265928,0.315315887048064,0.303731544156776
2021-07-22,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-22,2021-07,0,0.391434902919012,0.364219636265928,0.315315887048064,0.303731544156776
2021-07-23,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-23,2021-07,0,0.391434902919012,0.364219636265928,0.315315887048064,0.303731544156776
2021-07-26,2021-06,-1,,,0.693827392462186,0.646923964937458
